time,tensaoCapacitor,tensaoResistor
0,0.00,5.00
1201,0.57,4.43
2404,1.07,3.93
3606,1.52,3.48
4808,1.91,3.09
6010,2.26,2.74
7213,2.57,2.43
8416,2.84,2.16
9618,3.09,1.91
10820,3.30,1.70
12022,3.50,1.50
13225,3.67,1.33
14428,3.82,1.18
15630,3.95,1.05
16833,4.07,0.93
18035,4.17,0.83
19237,4.27,0.73
20441,4.35,0.65
21643,4.42,0.58
22845,4.49,0.51
24048,4.55,0.45
25250,4.60,0.40
26452,4.64,0.36
27656,4.69,0.31
28858,4.72,0.28
30060,4.75,0.25
31263,4.78,0.22
32465,4.80,0.20
33668,4.83,0.17
34871,4.85,0.15
36073,4.86,0.14
37275,4.88,0.12
38477,4.89,0.11
39681,4.91,0.09
40883,4.92,0.08
42085,4.93,0.07
43288,4.94,0.06
44490,4.94,0.06
45692,4.95,0.05
46896,4.96,0.04
48098,4.96,0.04
49300,4.97,0.03
50503,4.97,0.03
51705,4.97,0.03
52908,4.98,0.02
54111,4.98,0.02
55313,4.98,0.02
56515,4.98,0.02
57718,4.99,0.01
58920,4.99,0.01
60123,4.99,0.01
61326,4.99,0.01
62528,4.99,0.01
63730,4.99,0.01
64933,4.99,0.01
66136,5.00,0.00
